orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-237,all,66,37,1181,468,29,62517,329,329,0,1,0,H,24,Alveolar type 2 cell,59,37,8,8,8_1,AlveolarMac
H-238,all,23,13,3,1344,23,39542,0,0,0,0,0,H,9,Pericyte,42,13,2,2,2_3,Vein
H-239,all,34,17,595,174,11,41931,0,0,0,0,0,H,7,B cell,38,16,2,2,2_1,Capillary
H-242,all,89,22,299,1284,35,60024,0,0,0,0,0,H,74,Alveolar type 2 cell,56,21,1,1,1_3,AT2
H-245,all,40,14,1297,7,19,45600,0,0,0,0,0,H,6,Alveolar type 1 cell,44,14,6,6,6,AT1
H-246,all,43,23,72,1821,22,58288,0,0,0,0,0,H,7,Interstitial macrophage,44,23,3,3,3_6,SCMF
H-247,all,62,26,400,1181,7,35398,0,0,0,0,0,H,33,Capillary 1 cell,56,27,3,3,3_5,SMC
H-248,all,17,13,304,1133,36,39317,0,0,0,0,0,H,2,Sox9+/Id2+ epithelial cell,33,13,7,7,7_3,Tcell (CD8)
H-250,all,89,38,62,1576,27,86045,50,50,0,1,0,H,23,Arterial endothelial cell,62,38,2,2,2_3,Vein
H-252,all,34,24,169,1533,7,43189,0,0,0,0,0,H,12,Capillary 1 cell,42,24,2,2,2_6,pDC
H-255,all,52,23,1930,1772,16,61421,0,0,0,0,0,H,3,Alveolar fibroblast 1,51,23,3,3,3_6,SCMF
H-258,all,68,37,155,1923,12,104369,0,0,0,0,0,H,7,Inflammatory monocyte,58,37,2,2,2_6,pDC
H-259,all,36,22,332,1538,15,38567,0,0,0,0,0,H,2,Secondary crest myofibroblast,43,23,3,3,3_5,SMC
H-265,all,23,17,1204,57,35,40541,0,0,0,0,0,H,4,Alveolar fibroblast 1,41,17,3,3,3_4,AdventitialFib
H-266,all,64,33,353,1395,24,111712,0,0,0,0,0,H,10,Capillary 1 cell,56,32,2,2,2_1,Capillary
H-267,all,7,6,369,1453,38,25404,0,0,0,0,0,H,2,Alveolar fibroblast 1,25,7,1,1,1_5_1,LymphaticEndo
H-272,all,21,5,1091,0,21,17484,0,0,0,0,0,H,14,Sox9+/Id2+ epithelial cell,42,5,1,1,1_1,AT2
H-278,all,32,19,481,1499,20,43734,0,0,0,0,0,H,10,Pericyte,40,19,5,5,5_1,Pericyte
H-280,all,18,15,258,1119,32,37725,0,0,0,0,0,H,5,Inflammatory monocyte,37,15,7,7,7_2,PatrolMac
H-286,all,6,4,0,1636,36,10208,0,0,0,0,0,H,2,Sox9+/Id2+ epithelial cell,25,6,1,1,1_3,AT2
H-292,all,114,48,586,3116,18,91936,0,0,0,0,0,H,37,Alveolar macrophage,50,27,8,8,8_1,AlveolarMac
H-294,all,32,23,98,2287,24,61349,0,0,0,0,0,H,8,CD4+ T cell,38,23,7,7,7_2,PatrolMac
H-297,all,13,5,539,2887,38,30728,0,0,0,0,0,H,3,Natural killer cell,28,5,7,7,7_3,Tcell (CD8)
H-301,all,41,22,881,2570,17,61095,0,0,0,0,0,H,20,Alveolar fibroblast 1,43,22,3,3,3_6,SCMF
H-302,all,20,14,520,3428,38,37998,0,0,0,0,0,H,3,Capillary 2 cell,40,14,1,1,1_3,AT2
H-303,all,14,12,1056,2952,21,58432,0,0,0,0,0,H,6,Pericyte,28,12,5,5,5_3,Pericyte
