orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-222,all,16,14,569,1925,9,13976,0,0,0,0,0,A,4,Alveolar type 1 cell,34,14,2,2,2_6,pDC
A-225,all,40,23,1106,493,14,60334,0,0,0,0,0,A,5,B cell,44,23,1,1,1_5_4,pDC
A-226,all,24,14,191,911,14,72714,0,0,0,0,0,A,3,Sox9+/Id2+ epithelial cell,45,14,1,1,1_3,AT2
A-227,all,61,30,1842,383,31,72712,0,0,0,0,0,A,5,Alveolar fibroblast 1,55,30,1,1,1_5_2,AlveolarFib
A-228,all,25,10,1141,1217,6,13439,0,0,0,0,0,A,13,Sox9+/Id2+ epithelial cell,45,10,1,1,1_1,AT2
A-229,all,94,15,1495,59,30,84043,0,0,0,0,0,A,84,Alveolar type 2 cell,55,15,1,1,1_3,AT2
A-230,all,31,14,76,242,17,28193,0,0,0,0,0,A,8,Alveolar fibroblast 1,42,15,3,3,3_1,SMC
A-232,all,22,12,1740,379,36,19363,0,0,0,0,0,A,11,Alveolar macrophage,42,12,1,1,1_3,AT2
A-235,all,35,25,1691,127,28,81528,0,0,0,0,0,A,2,B cell,42,25,9,9,9,Bcell
A-237,all,29,20,959,7,27,50408,0,0,0,0,0,A,12,Alveolar fibroblast 1,38,21,3,3,3_1,SMC
A-239,all,44,27,1186,608,16,45966,0,0,0,0,0,A,7,Alveolar fibroblast 1,49,27,1,1,1_5_1,LymphaticEndo
A-241,all,30,20,1448,776,25,60368,0,0,0,0,0,A,7,Capillary 1 cell,46,19,2,2,2_1,Capillary
A-242,all,37,15,1439,302,18,43227,0,0,0,0,0,A,21,Alveolar type 2 cell,43,15,1,1,1_1,AT2
A-243,all,46,26,93,1828,36,53154,0,0,0,0,0,A,4,Alveolar fibroblast 1,51,27,1,1,1_5_1,LymphaticEndo
A-245,all,41,22,581,1660,31,69635,0,0,0,0,0,A,5,Capillary 1 cell,43,22,2,2,2_1,Capillary
A-246,all,7,7,769,1688,36,16056,0,0,0,0,0,A,2,Alveolar fibroblast 1,27,9,1,1,1_4_1,AlveolarFib
A-247,all,84,42,1761,350,21,100580,0,0,0,0,0,A,37,Pericyte,63,43,2,2,2_4,Artery
A-248,all,65,31,1694,967,19,101786,0,0,0,0,0,A,23,Pericyte,56,31,5,5,5_1,Pericyte
A-249,all,21,16,700,1266,29,75084,54,0,54,0,1,A,3,Capillary 1 cell,41,16,8,8,8_2,InterstitialMac
A-252,all,60,38,406,288,29,96668,0,0,0,0,0,A,16,Pericyte,56,38,5,5,5_1,Pericyte
A-257,all,6,5,1734,1106,7,25863,0,0,0,0,0,A,2,Alveolar type 1 cell,24,7,6,6,6,AT1
A-259,all,19,12,6,369,24,36674,0,0,0,0,0,A,10,Innate lymphoid cell,41,13,2,2,2_2,InflamMac
A-260,all,62,33,919,1254,21,98591,0,0,0,0,0,A,5,Pericyte,55,33,5,5,5_1,Pericyte
A-264,all,17,10,233,1760,19,42868,0,0,0,0,0,A,6,Pericyte,34,10,5,5,5_3,Pericyte
A-265,all,70,34,1144,557,16,70053,0,0,0,0,0,A,16,Natural killer cell,57,34,7,7,7_4,PatrolMac
A-266,all,91,24,681,1781,36,88539,0,0,0,0,0,A,10,Alveolar type 1 cell,59,24,6,6,6,AT1
A-270,all,13,11,934,404,17,23525,0,0,0,0,0,A,2,Endothelial progenitor cell,30,11,3,3,3_4,AdventitialFib
A-273,all,47,23,1060,476,29,72396,0,0,0,0,0,A,6,Alveolar fibroblast 1,48,24,2,2,2_2,InflamMac
A-274,all,23,15,58,863,21,38974,0,0,0,0,0,A,4,Sox9+/Id2+ epithelial cell,39,15,3,3,3_4,AdventitialFib
A-276,all,57,21,1867,1318,35,61059,0,0,0,0,0,A,9,Vascular smooth muscle cell,52,21,5,5,5_1,Pericyte
A-278,all,32,20,1470,133,11,39516,118,118,0,1,0,A,6,Vascular smooth muscle cell,39,20,2,2,2_4,Artery
